"Date","Price","Open","High","Low","Target"
"2019-10-18","1490.1","1492.17","1494.26","1484.82","-1"
"2019-10-15","1481.17","1493.2","1498.17","1477.53","-1"
"2019-10-11","1489.85","1494.44","1503.45","1474.28","-1"
"2019-10-10","1494.3","1505.6","1517.08","1491.42","-1"
"2019-10-09","1505.7","1506.05","1511.6","1499.7","-1"
"2019-10-07","1493.6","1504.76","1509.64","1489.94","-1"
"2019-10-04","1504.6","1505.19","1511.17","1497.15","-1"
"2019-09-30","1472.25","1497.07","1500.5","1464.42","-1"
"2019-09-27","1496.94","1506.0","1507.7","1487.04","-1"
"2019-09-25","1504.15","1532.0","1535.42","1501.31","-1"
"2019-09-18","1493.9","1501.55","1511.32","1484.36","-1"
"2019-09-16","1498.8","1503.34","1512.2","1495.75","-1"
"2019-09-13","1488.7","1498.5","1509.25","1485.73","-1"
"2019-09-10","1486.4","1499.0","1501.45","1484.27","-1"
"2019-09-09","1498.95","1507.1","1515.55","1497.72","-1"
"2019-09-06","1506.95","1519.2","1527.9","1502.89","-1"
"2019-09-05","1519.35","1552.5","1553.38","1509.39","-1"
"2019-08-30","1520.25","1527.6","1533.45","1517.43","-1"
"2019-08-29","1527.7","1539.2","1550.72","1519.5","-1"
"2019-08-28","1539.1","1541.8","1547.03","1531.55","-1"
"2019-08-26","1526.35","1539.3","1555.13","1524.55","-1"
"2019-08-22","1498.8","1502.2","1504.68","1491.85","-1"
"2019-08-21","1502.3","1507.7","1508.4","1496.15","-1"
"2019-08-19","1495.3","1511.15","1513.0","1492.65","-1"
"2019-08-16","1514.15","1523.9","1527.75","1504.2","-1"
"2019-08-13","1501.39","1510.74","1534.75","1481.38","-1"
"2019-08-09","1497.24","1501.2","1508.4","1494.69","-1"
"2019-08-08","1500.95","1501.5","1509.72","1490.08","-1"
"2019-08-02","1440.7","1445.8","1448.23","1430.2","-1"
"2019-07-31","1413.8","1431.05","1433.07","1411.42","-1"
"2019-07-25","1414.53","1426.3","1433.84","1411.08","-1"
"2019-07-23","1417.39","1425.15","1429.25","1414.29","-1"
"2019-07-22","1425.12","1425.15","1429.77","1422.34","-1"
"2019-07-19","1425.3","1446.4","1452.96","1420.4","-1"
"2019-07-16","1406.33","1415.05","1418.34","1401.23","-1"
"2019-07-15","1414.08","1415.75","1419.75","1407.69","-1"
"2019-07-11","1404.0","1419.2","1426.21","1401.58","-1"
